first_name,last_name,bform,date_of_birth,mobileno,email,father_name,father_email,father_phone,father_cnic
Abdul ,Hanan,3230499191087,2/2/2000,99914748,shizausair21232@gmail.com,Muhammad Husain Qadir,hajrausair23131@gmail.com,99914748,3230165654312
Abdul ,Manan,3230499191087,2/3/2000,99914748,shizausair21233@gmail.com,Muhammad Husain Qadir,hajrausair23132@gmail.com,99914748,3230165654312
Anam,Hassan,3230499191087,2/4/2000,99914748,shizausair21234@gmail.com,Muhammad Husain Qadir,hajrausair23133@gmail.com,99914748,3230165654312
Masooma,Amir Shah,3230499191087,2/5/2000,99914748,shizausair21235@gmail.com,Muhammad Husain Qadir,hajrausair23134@gmail.com,99914748,3230165654312
Muhammad ,faizan Afzaal,3230499191087,2/6/2000,99914748,shizausair21236@gmail.com,Muhammad Husain Qadir,hajrausair23135@gmail.com,99914748,3230165654312
Muhammad ,Rehan,3230499191087,2/7/2000,99914748,shizausair21237@gmail.com,Muhammad Husain Qadir,hajrausair23136@gmail.com,99914748,3230165654312
Muqeet,Sakhawat,3230499191087,2/8/2000,99914748,shizausair21238@gmail.com,Muhammad Husain Qadir,hajrausair23137@gmail.com,99914748,3230165654312
Nisha,Hafeez,3230499191087,2/9/2000,99914748,shizausair21239@gmail.com,Muhammad Husain Qadir,hajrausair23138@gmail.com,99914748,3230165654312
Rayan,Usman,3230499191087,2/10/2000,99914748,shizausair21240@gmail.com,Muhammad Husain Qadir,hajrausair23139@gmail.com,99914748,3230165654312
Shameer,Habib,3230499191087,2/11/2000,99914748,shizausair21241@gmail.com,Muhammad Husain Qadir,hajrausair23140@gmail.com,99914748,3230165654312
